id,Title,Ammount,Institution,Degree,Field,Students,Location,Deadline
0,Fully Funded International Scholarship Round 2023,Fully Funded,Macquarie University,"PhD, MRes",All Subjects,International Students,Australia,03/03/2023
1,Uppsala University Global Scholarship 2023,Full tuition fee,Uppsala University,Masters,All Subjects,International Students,Sweden,Not Mentioned
2,LEG Fellowships for Doctoral Students 2023,Partial Funding,Leibniz Institute of European History,Fellowship,"History, Theology",International Students,Germany,02/15/2023
3,Informatics Global PhD Scholarships 2023-2024,Fully Funded,University of Edinburgh,PhD,Informatics,International Students,UK,01/27/2023
4,Tuition Fees and Scholarships For International Applicants 2023,Full tuition fee,University of Oulu,"Bachelor, Masters",All Subjects,International Students,Finland,01/25/2023
5,Latvian Government Scholarships for International Students without IELTS 2023,Fully Funded,Latvia Universities,"Masters, PhD, Undergraduate",All Subjects,International Students,Latvia,Not Mentioned
6,Swiss Government Excellency Scholarships For Foreign Scholars and Artists 2023-24,Fully Funded,Switzerland Universities,"PhD, Masters",All Subjects,International Students,Switzerland,Not Mentioned
7,8 Florida Government Scholarships 2023,"Fully Funded, Partial Funding",USA Universities,"Masters, Undergraduate",All Subjects,International Students,USA,Not Mentioned
8,8 London Government and Universities Scholarships for International students,"Fully Funded, Partial Funding",UK Universities,Masters,All Subjects,International Students,UK,Not Mentioned
9,Singapore Government's Top 5 Scholarships for International students 2023,Fully Funded,Singapore Universities,Masters,All Subjects,International Students,Singapore,Not Mentioned
10,Doctoral Programme in Economics 2023,Fully Funded,The European University Institute (EUI),PhD,Economics,International Students,Italy,01/31/2023
11,DAAD-EPOS Fully Funded Scholarship for International Media Students (M.A.) 2023,Fully Funded,Hochschule Bonn-Rhein-Sieg University of Applied Sciences,Masters,Media Studies,International Students,Germany,03/31/2023
12,5 Turkey Government Scholarships fully funded,Fully Funded,Turkey Universities,"Masters, Undergraduate",All Subjects,International Students,Turkey,Not Mentioned
13,President's PhD Scholarships 2023,Fully Funded,Imperial College London,PhD,All Subjects,International Students,UK,01/03/2023
14,Letje Lips Amsterdam Merit Scholarship 2023 (LLAMS),Partial Funding,University of Amsterdam,Masters,Humanities,International Students,Netherlands,01/15/2023
15,Future 50 PhD Scholarships - College of Science and Engineering,Partial Funding,University of Leicester,PhD,"Chemistry, Computer Science, Mathematical Sciences, Geography, Geology, Physics +2 More, Astronomy, Engineering",International Students,UK,01/20/2023
16,Research Grants - FULLY FUNDED Doctoral Programmes in Germany 2023,Fully Funded,DAAD - Deutscher Akademischer Austausch Dienst,PhD,All Subjects,International Students,Germany,Not Mentioned
17,SMU Academic Research PhD Programmes 2023,"Partial Funding, Fully Funded",the Singapore Management University,PhD,"Accounting, Physiology, Economics, Business, Information Technology, Computer Science +4 More, Law, Commerce, Technology, Asian Urbanism",International Students,Singapore,Not Mentioned
18,Wellcome Trust MRes + PhD in Stem Cell Biology Scholarship 2023 (Fully funded),Fully Funded,Wellcome - MRC Cambridge Stem Cell Institute,"PhD, MRes","Stem Cells, Biology",International Students,UK,01/06/2023
19,Vice-Chancellor's International Scholarships Scheme 2023,Partial Funding,University of Sydney,"Bachelor, Masters",All Subjects,International Students,Australia,03/01/2023
20,Doctoral Programme in Political and Social Sciences 2023,Fully Funded,The European University Institute (EUI),PhD,"Political Science, Social Sciences",International Students,Italy,01/31/2023
21,ESRC Postdoctoral Fellowships 2023,Partial Funding,"University of Bath, University of Bristol, University of Exeter, Plymouth University, University of West of England","PhD, Fellowship",All Subjects,International Students,UK,03/23/2023
22,Government of Ireland International Education Scholarships 2023 (Fully-Funded),Fully Funded,Ireland Universities,"Undergraduate, Graduate, Postgraduate",All Subjects,"International Students, Domestic Students",Ireland,Not Mentioned
23,Spanish Government Scholarships for International Students in 2023,"Fully Funded, Partial Funding",Spain Universities,Masters,All Subjects,International Students,Spain,Not Mentioned
24,Morocco Government Scholarship: All You Need To Know.,Fully Funded,Morocco Universities,Masters,All Subjects,International Students,Morocco,Not Mentioned
25,European University iInstitute Italy PhD Economics Scholarships 2024,Fully Funded,The European University Institute (EUI),PhD,Economics,International Students,Italy,Not Mentioned
